TERRAIN,FLAT,UNSKIIABLE,OVERRIDE,RESULT,MAP PACK,REVIEW
Abominable.ter,Yes,Yes,,Reject,Dynamix Original (2001),
AcidRain.ter,Yes,No,,Reject,Classic Patch (2002),
AgentsOfFortune.ter,Yes,Yes,,Reject,Dynamix Original (2001),
Alcatraz.ter,Trace,No,,Accept,Dynamix Original (2001),yeah. seems fine
Archipelago.ter,No,Yes,,Reject,Dynamix Original (2001),
AshesToAshes.ter,Yes,Yes,,Reject,Dynamix Original (2001),
Attrition.ter,Trace,No,,Accept,Discord Map Pack (2020),
BastardForge.ter,No,No,,Accept,Discord Map Pack (2020),
BeggarsRun.ter,No,Yes,,Reject,Dynamix Original (2001),
Broadside_nef.ter,No,No,,Accept,Classic Patch (2002),
Bunkered.ter,No,Yes,,Reject,Discord Map Pack (2020),
Caldera.ter,No,No,,Accept,Dynamix Original (2001),
Cardiac.ter,No,No,,Accept,Season 8 (2013),
Casern_Cavite.ter,Yes,Yes,,Reject,Dynamix Original (2001),
CCD.ter,Trace,No,,Accept,TWL2 Map Pack (2007),
CeleritySE.ter,Trace,No,,Accept,TWL2 Map Pack (2007),I was on the fence on this one
Chasmaclysmic.ter,Trace,Kinda,Yes,Reject,Discord Map Pack (2020),this level is really kinda boring if it spawns right (which it can not do)
Cinerarium.ter,Trace,No,,Accept,Discord Map Pack (2020),
cloak.ter,No,Yes,,Reject,TWL2 Map Pack (2007),the terrain is just too big for a fun race
CompUSA_Melee.ter,No,Yes,,Reject,Dynamix Original (2001),the hill is causing too much grief and the rest of the map doesn’t have enough value to justify it
Confusco.ter,No,Yes,,Superhard,Classic Patch (2002),WAY too big.
Coppera.ter,No,No,,Accept,Discord Map Pack (2020),this seems fine. just gotta keep jumping over the mesas? plateaus? fjordr? Whatever
Crater71.ter,No,Yes,,Reject,Classic Patch (2002),this almost always generates something very unfun
Damnation.ter,Duplicate,Duplicate,,Duplicate,Dynamix Original (2001),
DangerousCrossing_nef.ter,No,No,,Accept,Classic Patch (2002),this level is fine
DBS_Smoothed.ter,Trace,Yes,,Reject,Discord Map Pack (2020),
DeathBirdsFly.ter,Trace,No,,Accept,Dynamix Original (2001),
DesertofDeath_nef.ter,No,No,,Accept,Classic Patch (2002),
Desiccator.ter,Yes,Yes,,Reject,Dynamix Original (2001),Things clearly seem to be at 4 plateaus of height. which doesn't make for good skiing.
DMP_Pantheon.ter,Trace,Kinda,Yes,Reject,Discord Map Pack (2020),there isn't enough value to this map to risk deadstopping
DustToDust.ter,Yes,Yes,,Reject,Dynamix Original (2001),
DX_Badlands.ter,Duplicate,Duplicate,,Duplicate,Discord Map Pack (2020),
DX_Desert.ter,Duplicate,Duplicate,,Duplicate,Discord Map Pack (2020),
DX_Ice.ter,Duplicate,Duplicate,,Duplicate,Discord Map Pack (2020),
EB_Hades.ter,No,Yes,,Reject,Dynamix Original (2001),not only is it extreme but you kinda have trouble reading the terrain too
Embers.ter,Trace,No,,Accept,Discord Map Pack (2020),
Equinox.ter,Yes,No,,Reject,Dynamix Original (2001),
Escalade.ter,No,Yes,,Reject,Dynamix Original (2001),
Euro_Drifts_SE.ter,Trace,Yes,,Reject,TWL2 Map Pack (2007),
Euro4_Bleed.ter,Trace,No,,Accept,TWL2 Map Pack (2007),
Euro4_Dissention.ter,Trace,No,,Accept,TWL2 Map Pack (2007),
Euro4_FrozenHope.ter,No,No,,Accept,TWL2 Map Pack (2007),seems fine?
Extra_Badlands1.ter,Yes,Likely,,Reject,Dynamix Original (2001),
Firestorm.ter,Yes,,,Reject,Dynamix Original (2001),
Flashpoint.ter,Yes,,,Reject,Dynamix Original (2001),
Fracas.ter,Yes,,,Reject,Dynamix Original (2001),
FrozenFury.ter,No,Yes,,Superhard,Classic Patch (2002),even the parts inside mission bounds are unskiiable garbage
Gauntlet.ter,Yes,No,,Reject,Dynamix Original (2001),
Gehenna.ter,Yes,,,Reject,Dynamix Original (2001),
Geothermal.ter,Trace,Yes,,Reject,Season 8 (2013),spawn is usually on the plateau. It can generate good starts and bad starts but it's usually a mess
GodsRift.ter,No,Yes,,Reject,Classic Patch (2002),
Gorgon.ter,No,No,,Accept,Classic Patch (2002),
Haven.ter,Yes,Kinda,,Reject,Classic Patch (2002),
Hildebrand.ter,No,No,,Accept,TWL2 Map Pack (2007),
HillKing.ter,No,Yes,,Reject,Discord Map Pack (2020),
Hillside.ter,Yes,Yes,,Superhard,Classic Patch (2002),accepted into april fools set (though it really shouldn’t be – too many deadstops)
HO_Badlands.ter,Yes,,,Reject,Discord Map Pack (2020),
HO_Desert.ter,Yes,,,Reject,Discord Map Pack (2020),
HO_Ice.ter,Yes,,,Reject,Discord Map Pack (2020),
HO_Lush.ter,Yes,,,Reject,Discord Map Pack (2020),
Hoth.ter,No,Yes,Yes,Reject,Discord Map Pack (2020),why would you name a terrain hoth if it isn't snowy
IceBound.ter,Yes,,,Reject,Dynamix Original (2001),
icedagger.ter,No,No,,Accept,TWL2 Map Pack (2007),
IceGiant.ter,Trace,Kinda,,Accept,Discord Map Pack (2020),a smoothed version of xtra_thundergiant
IceRidge_nef.ter,No,Yes,,Reject,Classic Patch (2002),canyons are just bad for this
Insalubria.ter,No,Yes,,Reject,Dynamix Original (2001),
Invictus.ter,Yes,,,Reject,Dynamix Original (2001),
JacobsLadder.ter,Trace,Yes,,Reject,Dynamix Original (2001),hills are WAY too extreme
jaggedclaw.ter,No,No,,Accept,TWL2 Map Pack (2007),
Katabatic.ter,Yes,,,Reject,Dynamix Original (2001),
Lakefront.ter,Trace,Likely,Yes,Reject,Classic Patch (2002),just kinda hate this map tbh
LavaGods.ter,No,No,,Accept,Discord Map Pack (2020),this is fine
Magellan.ter,No,No,,Accept,Discord Map Pack (2020),
Magmatic.ter,Trace,No,,Accept,Classic Patch (2002),a bit on the hard side
MapAssets.ter,Yes,,,Reject,Discord Map Pack (2020),
Masada.ter,Yes,,,Reject,Dynamix Original (2001),tiny dicked map
Minotaur.ter,No,Yes,,Reject,Dynamix Original (2001),
mmd.ter,Yes,,,Reject,TWL2 Map Pack (2007),
MoonDance2.ter,Yes,No,,Reject,Discord Map Pack (2020),too many deadstop splotches
Moonwalk.ter,No,No,Yes,Reject,Discord Map Pack (2020),magnum-like terrain
mountking.ter,No,Yes,,Reject,Season 8 (2013),
MyrkWood.ter,No,No,Yes,Reject,Dynamix Original (2001),we don't need this when we have woodymyrk
norty.ter,No,Yes,,Reject,TWL2 Map Pack (2007),too extreme
Oasis.ter,Duplicate,Duplicate,,Duplicate,Dynamix Original (2001),duplicate of Respite
Octane.ter,Yes,,,Reject,Discord Map Pack (2020),
Ocular.ter,No,No,,Accept,TWL2 Map Pack (2007),
Overreach.ter,Yes,Yes,,Reject,Dynamix Original (2001),
Paranoia.ter,Trace,Kinda,Yes,Reject,Discord Map Pack (2020),this map is basically flat garbage with a few hills to get in your way
Pariah.ter,Trace,Yes,,Reject,Discord Map Pack (2020),these hills are too fucking steep
Pariah2.ter,Trace,Yes,,Reject,Discord Map Pack (2020),ditto
PhasmaDust.ter,Yes,,,Reject,Classic Patch (2002),
PlanetX2.ter,Trace,No,,Accept,Discord Map Pack (2020),
PuliVeivari.ter,No,Yes,,Reject,Discord Map Pack (2020),
Pyroclasm.ter,Yes,,,Reject,Dynamix Original (2001),
Quagmire.ter,Yes,,,Reject,Dynamix Original (2001),
Raindance_nef.ter,No,No,,Accept,Classic Patch (2002),
Ramparts.ter,No,Likely,Yes,Reject,Classic Patch (2002),biased against copyright violation map
RandomTer1.ter,No,No,,Accept,Discord Map Pack (2020),
RandomTer10.ter,No,No,,Accept,Discord Map Pack (2020),
RandomTer2.ter,No,No,,Accept,Discord Map Pack (2020),
RandomTer3.ter,No,Yes,,Reject,Discord Map Pack (2020),canyon fractal
RandomTer4.ter,No,No,,Accept,Discord Map Pack (2020),
RandomTer5.ter,No,No,,Accept,Discord Map Pack (2020),
RandomTer6.ter,No,No,,Accept,Discord Map Pack (2020),
RandomTer7.ter,No,No,,Accept,Discord Map Pack (2020),
RandomTer8.ter,No,No,,Accept,Discord Map Pack (2020),
RandomTer9.ter,No,No,,Accept,Discord Map Pack (2020),this canyon works somehow
Rasp.ter,Trace,Yes,,Reject,Dynamix Original (2001),
Ravine.ter,Trace,Yes,,Reject,Discord Map Pack (2020),
RavineV.ter,Trace,Yes,,Reject,Discord Map Pack (2020),
Recalescence.ter,Yes,,,Reject,Dynamix Original (2001),
Respite.ter,No,No,,Accept,Dynamix Original (2001),
Reversion.ter,Yes,Kinda,,Reject,Dynamix Original (2001),
Rimehold.ter,No,Yes,,Reject,Dynamix Original (2001),
RiverDance.ter,Yes,,,Reject,Dynamix Original (2001),
Rollercoaster_nef.ter,No,No,,Accept,Classic Patch (2002),unlike most canyon maps this actually turns out to be skiiable
rst_agroleon.ter,Trace,Kinda,Yes,Reject,Discord Map Pack (2020),the outer half of the terrain is too flat. and I deadstopped somewhere weird
rst_Astro.ter,No,No,,Accept,Discord Map Pack (2020),
rst_bittergorge.ter,No,No,,Accept,Discord Map Pack (2020),
rst_crumpie.ter,No,No,,Accept,Discord Map Pack (2020),
rst_dermcity.ter,No,No,Yes,Reject,Discord Map Pack (2020),whatever the fuck this is doesn't seem good for this
rst_FaceCrossing.ter,No,No,,Accept,Discord Map Pack (2020),
rst_isledebatalla.ter,Yes,,,Reject,Discord Map Pack (2020),
Rst_ScorchedEarth.ter,Trace,No,,Accept,Discord Map Pack (2020),it's fine
rst_SimpleFlagArena.ter,No,Yes,,Reject,Discord Map Pack (2020),literally squares
rst_spit.ter,No,No,,Accept,Discord Map Pack (2020),i got to gate 5 on a discless discjump launch run
Rush.ter,No,No,,Accept,Discord Map Pack (2020),
S5_Centaur.ter,No,No,,Accept,Season 5 (2012),
S5_Drache.ter,No,No,,Accept,Season 5 (2012),
S5_Icedance.ter,No,No,,Accept,Season 5 (2012),
S5_massive.ter,Trace,No,,Accept,Season 5 (2012),this is fine? I remember writing about deadstops but I don't see any?
S5_Mordacity.ter,No,No,,Accept,Season 5 (2012),
S5_rst_hawkingheat.ter,Trace,Yes,,Reject,Season 5 (2012),
S5_rst_misadventure.ter,No,No,,Accept,Season 5 (2012),
S5_rst_reynard.ter,No,Yes,,Reject,Season 5 (2012),this map is pushing the bounds of variance
S5_rst_silenus.ter,No,Yes,,Reject,Season 5 (2012),
S5_Sherman.ter,No,No,,Accept,Season 5 (2012),
S5-Icedance.ter,Duplicate,Duplicate,,Duplicate,Season 5 (2012),
S5-massive.ter,Duplicate,Duplicate,,Duplicate,Season 5 (2012),
S5-Mordacity.ter,Duplicate,Duplicate,,Duplicate,Season 5 (2012),
S8_rst_dogma.ter,No,No,,Accept,Season 8 (2013),
S8_rst_opus.ter,Trace,No,,Accept,Season 8 (2013),
S8_zilch.ter,No,Yes,,Reject,Season 8 (2013),
Sanctuary.ter,Trace,Yes,,Reject,Dynamix Original (2001),
Sandstorm.ter,No,No,,Accept,Classic Patch (2002),
SC_Badlands.ter,Yes,,,Reject,Discord Map Pack (2020),
SC_Desert.ter,Yes,,,Reject,Discord Map Pack (2020),
SC_Ice.ter,Yes,,,Reject,Discord Map Pack (2020),
SC_Lush.ter,Yes,,,Reject,Discord Map Pack (2020),
SC_Night.ter,Yes,,,Reject,Discord Map Pack (2020),
SC_Normal.ter,Yes,,,Reject,Discord Map Pack (2020),
